"ENSEMBL","ENTREZID","SYMBOL","GENENAME"
"ENSG00000144596","80852","GRIP2","glutamate receptor interacting protein 2"
"ENSG00000144597","85403","EAF1","ELL associated factor 1"
"ENSG00000144619","152330","CNTN4","contactin 4"
"ENSG00000144635","51143","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1"
"ENSG00000144642","27303","RBMS3","RNA binding motif single stranded interacting protein 3"
"ENSG00000144644","339896","GADL1","glutamate decarboxylase like 1"
"ENSG00000144645","114884","OSBPL10","oxysterol binding protein like 10"
"ENSG00000144647","84892","POMGNT2","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)"
"ENSG00000144648","1238","ACKR2","atypical chemokine receptor 2"
"ENSG00000144649","729085","GASK1A","golgi associated kinase 1A"
"ENSG00000144655","64651","CSRNP1","cysteine and serine rich nuclear protein 1"
"ENSG00000144659","54977","SLC25A38","solute carrier family 25 member 38"
"ENSG00000144668","3680","ITGA9","integrin subunit alpha 9"
"ENSG00000144671","9389","SLC22A14","solute carrier family 22 member 14"
"ENSG00000144674","2803","GOLGA4","golgin A4"
"ENSG00000144677","10217","CTDSPL","CTD small phosphatase like"
"ENSG00000144681","6769","STAC","SH3 and cysteine rich domain"
"ENSG00000144711","9922","IQSEC1","IQ motif and Sec7 domain ArfGEF 1"
"ENSG00000144712","23066","CAND2","cullin associated and neddylation dissociated 2 (putative)"
"ENSG00000144713","6161","RPL32","ribosomal protein L32"
"ENSG00000144724","5793","PTPRG","protein tyrosine phosphatase receptor type G"
"ENSG00000144730","54756","IL17RD","interleukin 17 receptor D"
"ENSG00000144736","55164","SHQ1","SHQ1, H/ACA ribonucleoprotein assembly factor"
"ENSG00000144741","115286","SLC25A26","solute carrier family 25 member 26"
"ENSG00000144744","9039","UBA3","ubiquitin like modifier activating enzyme 3"
"ENSG00000144746","10550","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5"
"ENSG00000144747","7110","TMF1","TATA element modulatory factor 1"
"ENSG00000144749","26018","LRIG1","leucine rich repeats and immunoglobulin like domains 1"
"ENSG00000144771","57408","LRTM1","leucine rich repeats and transmembrane domains 1"
"ENSG00000144785",NA,NA,NA
"ENSG00000144791","8994","LIMD1","LIM domain containing 1"
"ENSG00000144792","285349","ZNF660","zinc finger protein 660"
"ENSG00000144802","64332","NFKBIZ","NFKB inhibitor zeta"
"ENSG00000144810","1295","COL8A1","collagen type VIII alpha 1 chain"
"ENSG00000144815","91775","NXPE3","neurexophilin and PC-esterase domain family member 3"
"ENSG00000144820","84873","ADGRG7","adhesion G protein-coupled receptor G7"
"ENSG00000144821","22989","MYH15","myosin heavy chain 15"
"ENSG00000144824","90102","PHLDB2","pleckstrin homology like domain family B member 2"
"ENSG00000144827","55347","ABHD10","abhydrolase domain containing 10, depalmitoylase"
"ENSG00000144834","29114","TAGLN3","transgelin 3"
"ENSG00000144837","51365","PLA1A","phospholipase A1 member A"
"ENSG00000144840","285282","RABL3","RAB, member of RAS oncogene family like 3"
"ENSG00000144843","141","ADPRH","ADP-ribosylarginine hydrolase"
"ENSG00000144847","152404","IGSF11","immunoglobulin superfamily member 11"
"ENSG00000144848","64422","ATG3","autophagy related 3"
"ENSG00000144852","8856","NR1I2","nuclear receptor subfamily 1 group I member 2"
"ENSG00000144857","91653","BOC","BOC cell adhesion associated, oncogene regulated"
"ENSG00000144867","58477","SRPRB","SRP receptor subunit beta"
"ENSG00000144868","66000","TMEM108","transmembrane protein 108"
"ENSG00000144891","185","AGTR1","angiotensin II receptor type 1"
"ENSG00000144893","116931","MED12L","mediator complex subunit 12L"
"ENSG00000144895","83939","EIF2A","eukaryotic translation initiation factor 2A"
"ENSG00000144908","10840","ALDH1L1","aldehyde dehydrogenase 1 family member L1"
"ENSG00000144909","114885","OSBPL11","oxysterol binding protein like 11"
"ENSG00000144935","7220","TRPC1","transient receptor potential cation channel subfamily C member 1"
"ENSG00000144959","57552","NCEH1","neutral cholesterol ester hydrolase 1"
"ENSG00000144962","83893","SPATA16","spermatogenesis associated 16"
"ENSG00000145002","653333","FAM86B2","family with sequence similarity 86 member B2"
"ENSG00000145012","4026","LPP","LIM domain containing preferred translocation partner in lipoma"
"ENSG00000145014","93109","TMEM44","transmembrane protein 44"
"ENSG00000145016","9711","RUBCN","rubicon autophagy regulator"
"ENSG00000145020","275","AMT","aminomethyltransferase"
"ENSG00000145022","6988","TCTA","T cell leukemia translocation altered"
"ENSG00000145029","84276","NICN1","nicolin 1, tubulin polyglutamylase complex subunit"
"ENSG00000145040","90226","UCN2","urocortin 2"
"ENSG00000145041","9730","DCAF1","DDB1 and CUL4 associated factor 1"
"ENSG00000145050","7873","MANF","mesencephalic astrocyte derived neurotrophic factor"
"ENSG00000145063","285150","FLJ33534","Putative uncharacterized protein FLJ33534"
"ENSG00000145075",NA,NA,NA
"ENSG00000145087","9515","STXBP5L","syntaxin binding protein 5L"
"ENSG00000145088","55840","EAF2","ELL associated factor 2"
"ENSG00000145103","286676","ILDR1","immunoglobulin like domain containing receptor 1"
"ENSG00000145107","116211","TM4SF19","transmembrane 4 L six family member 19"
"ENSG00000145113","4585","MUC4","mucin 4, cell surface associated"
"ENSG00000145147","9353","SLIT2","slit guidance ligand 2"
"ENSG00000145191","8893","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon"
"ENSG00000145192","197","AHSG","alpha 2-HS glycoprotein"
"ENSG00000145194","9718","ECE2","endothelin converting enzyme 2"
"ENSG00000145198","90113","VWA5B2","von Willebrand factor A domain containing 5B2"
"ENSG00000145214","1609","DGKQ","diacylglycerol kinase theta"
"ENSG00000145216","81608","FIP1L1","factor interacting with PAPOLA and CPSF1"
"ENSG00000145217","10861","SLC26A1","solute carrier family 26 member 1"
"ENSG00000145220","55646","LYAR","Ly1 antibody reactive"
"ENSG00000145241","1060","CENPC","centromere protein C"
"ENSG00000145242","2044","EPHA5","EPH receptor A5"
"ENSG00000145244","10699","CORIN","corin, serine peptidase"
"ENSG00000145246","57205","ATP10D","ATPase phospholipid transporting 10D (putative)"
"ENSG00000145247","132299","OCIAD2","OCIA domain containing 2"
"ENSG00000145248","201780","SLC10A4","solute carrier family 10 member 4"
"ENSG00000145283","345274","SLC10A6","solute carrier family 10 member 6"
"ENSG00000145284","79966","SCD5","stearoyl-CoA desaturase 5"
"ENSG00000145287","51316","PLAC8","placenta associated 8"
"ENSG00000145293","58478","ENOPH1","enolase-phosphatase 1"
"ENSG00000145309","85438","CABS1","calcium binding protein, spermatid associated 1"
"ENSG00000145321","2638","GC","GC vitamin D binding protein"
"ENSG00000145331","93587","TRMT10A","tRNA methyltransferase 10A"
"ENSG00000145332","57563","KLHL8","kelch like family member 8"
"ENSG00000145335","6622","SNCA","synuclein alpha"
"ENSG00000145337","100996939","PYURF","PIGY upstream open reading frame"
"ENSG00000145348","93627","TBCK","TBC1 domain containing kinase"
"ENSG00000145349","817","CAMK2D","calcium/calmodulin dependent protein kinase II delta"
"ENSG00000145354","493856","CISD2","CDGSH iron sulfur domain 2"
"ENSG00000145358","115265","DDIT4L","DNA damage inducible transcript 4 like"
"ENSG00000145362","287","ANK2","ankyrin 2"
"ENSG00000145365","92610","TIFA","TRAF interacting protein with forkhead associated domain"
"ENSG00000145375","166378","SPATA5","spermatogenesis associated 5"
"ENSG00000145384","2169","FABP2","fatty acid binding protein 2"
"ENSG00000145386","890","CCNA2","cyclin A2"
"ENSG00000145388","57721","METTL14","methyltransferase 14, N6-adenosine-methyltransferase subunit"
"ENSG00000145390","54532","USP53","ubiquitin specific peptidase 53"
"ENSG00000145391","80854","SETD7","SET domain containing 7, histone lysine methyltransferase"
"ENSG00000145414","92345","NAF1","nuclear assembly factor 1 ribonucleoprotein"
"ENSG00000145416","55016","MARCHF1","membrane associated ring-CH-type finger 1"
"ENSG00000145423","6423","SFRP2","secreted frizzled related protein 2"
"ENSG00000145425","6189","RPS3A","ribosomal protein S3A"
"ENSG00000145428","285533","RNF175","ring finger protein 175"
"ENSG00000145431","56034","PDGFC","platelet derived growth factor C"
"ENSG00000145439","84869","CBR4","carbonyl reductase 4"
"ENSG00000145451","8001","GLRA3","glycine receptor alpha 3"
"ENSG00000145476","285440","CYP4V2","cytochrome P450 family 4 subfamily V member 2"
"ENSG00000145491","83853","ROPN1L","rhophilin associated tail protein 1 like"
"ENSG00000145494","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6"
"ENSG00000145495","10299","MARCHF6","membrane associated ring-CH-type finger 6"
"ENSG00000145506","85409","NKD2","NKD inhibitor of WNT signaling pathway 2"
"ENSG00000145526","1016","CDH18","cadherin 18"
"ENSG00000145536","170690","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16"
"ENSG00000145545","6715","SRD5A1","steroid 5 alpha-reductase 1"
"ENSG00000145555","4651","MYO10","myosin X"
"ENSG00000145569","54491","OTULINL","OTU deubiquitinase with linear linkage specificity like"
"ENSG00000145592","6167","RPL37","ribosomal protein L37"
"ENSG00000145604","6502","SKP2","S-phase kinase associated protein 2"
"ENSG00000145623","9180","OSMR","oncostatin M receptor"
"ENSG00000145626","133688","UGT3A1","UDP glycosyltransferase family 3 member A1"
"ENSG00000145632","10769","PLK2","polo like kinase 2"
"ENSG00000145642","100132916","SHISAL2B","shisa like 2B"
"ENSG00000145649","3001","GZMA","granzyme A"
"ENSG00000145675","5295","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1"
"ENSG00000145681","1404","HAPLN1","hyaluronan and proteoglycan link protein 1"
"ENSG00000145685","10184","LHFPL2","LHFPL tetraspan subfamily member 2"
"ENSG00000145687","23635","SSBP2","single stranded DNA binding protein 2"
"ENSG00000145692","635","BHMT","betaine--homocysteine S-methyltransferase"
"ENSG00000145700","256006","ANKRD31","ankyrin repeat domain 31"
"ENSG00000145703","10788","IQGAP2","IQ motif containing GTPase activating protein 2"
"ENSG00000145708","1393","CRHBP","corticotropin releasing hormone binding protein"
"ENSG00000145715","5921","RASA1","RAS p21 protein activator 1"
"ENSG00000145721","167410","LIX1","limb and CNS expressed 1"
"ENSG00000145723","54826","GIN1","gypsy retrotransposon integrase 1"
"ENSG00000145725","23262","PPIP5K2","diphosphoinositol pentakisphosphate kinase 2"
"ENSG00000145730","5066","PAM","peptidylglycine alpha-amidating monooxygenase"
"ENSG00000145734","55814","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
"ENSG00000145736","2966","GTF2H2","general transcription factor IIH subunit 2"
"ENSG00000145740","64924","SLC30A5","solute carrier family 30 member 5"
"ENSG00000145741","689","BTF3","basic transcription factor 3"
"ENSG00000145743","64839","FBXL17","F-box and leucine rich repeat protein 17"
"ENSG00000145757","83890","SPATA9","spermatogenesis associated 9"
"ENSG00000145777","85480","TSLP","thymic stromal lymphopoietin"
"ENSG00000145779","25816","TNFAIP8","TNF alpha induced protein 8"
"ENSG00000145780","56929","FEM1C","fem-1 homolog C"
"ENSG00000145781","51397","COMMD10","COMM domain containing 10"
"ENSG00000145782","9140","ATG12","autophagy related 12"
"ENSG00000145794","84466","MEGF10","multiple EGF like domains 10"
"ENSG00000145808","171019","ADAMTS19","ADAM metallopeptidase with thrombospondin type 1 motif 19"
"ENSG00000145817","81555","YIPF5","Yip1 domain family member 5"
"ENSG00000145819","23092","ARHGAP26","Rho GTPase activating protein 26"
"ENSG00000145824","9547","CXCL14","C-X-C motif chemokine ligand 14"
"ENSG00000145826","3950","LECT2","leukocyte cell derived chemotaxin 2"
"ENSG00000145832","153328","SLC25A48","solute carrier family 25 member 48"
"ENSG00000145833","9879","DDX46","DEAD-box helicase 46"
"ENSG00000145839","3578","IL9","interleukin 9"
"ENSG00000145850","91937","TIMD4","T cell immunoglobulin and mucin domain containing 4"
"ENSG00000145860","153830","RNF145","ring finger protein 145"
"ENSG00000145861","114898","C1QTNF2","C1q and TNF related 2"
"ENSG00000145863","2559","GABRA6","gamma-aminobutyric acid type A receptor subunit alpha6"
"ENSG00000145864","2561","GABRB2","gamma-aminobutyric acid type A receptor subunit beta2"
"ENSG00000145868","81545","FBXO38","F-box protein 38"
"ENSG00000145879","84651","SPINK7","serine peptidase inhibitor Kazal type 7"
"ENSG00000145882","78991","PCYOX1L","prenylcysteine oxidase 1 like"
"ENSG00000145888","2741","GLRA1","glycine receptor alpha 1"
"ENSG00000145901","10318","TNIP1","TNFAIP3 interacting protein 1"
"ENSG00000145907","10146","G3BP1","G3BP stress granule assembly factor 1"
"ENSG00000145908","91975","ZNF300","zinc finger protein 300"
"ENSG00000145911","23138","N4BP3","NEDD4 binding protein 3"
"ENSG00000145912","55651","NHP2","NHP2 ribonucleoprotein"
"ENSG00000145916","64777","RMND5B","required for meiotic nuclear division 5 homolog B"
"ENSG00000145919","91272","BOD1","biorientation of chromosomes in cell division 1"
"ENSG00000145920","10814","CPLX2","complexin 2"
"ENSG00000145934","57451","TENM2","teneurin transmembrane protein 2"
"ENSG00000145936","3779","KCNMB1","potassium calcium-activated channel subfamily M regulatory beta subunit 1"
"ENSG00000145945","26240","FAM50B","family with sequence similarity 50 member B"
"ENSG00000145949","340156","MYLK4","myosin light chain kinase family member 4"
"ENSG00000145975","222826","FAM217A","family with sequence similarity 217 member A"
"ENSG00000145979","51256","TBC1D7","TBC1 domain family member 7"
"ENSG00000145982","10667","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial"
"ENSG00000145990","54438","GFOD1","glucose-fructose oxidoreductase domain containing 1"
"ENSG00000145996","54901","CDKAL1","CDK5 regulatory subunit associated protein 1 like 1"
"ENSG00000146005","84249","PSD2","pleckstrin and Sec7 domain containing 2"
"ENSG00000146006","26045","LRRTM2","leucine rich repeat transmembrane neuronal 2"
"ENSG00000146007","153527","ZMAT2","zinc finger matrin-type 2"
"ENSG00000146013","2676","GFRA3","GDNF family receptor alpha 3"
"ENSG00000146021","26249","KLHL3","kelch like family member 3"
"ENSG00000146038","51473","DCDC2","doublecortin domain containing 2"
"ENSG00000146039","10050","SLC17A4","solute carrier family 17 member 4"
"ENSG00000146047","255626","H2BC1","H2B clustered histone 1"
"ENSG00000146049","353219","KAAG1","kidney associated DCDC2 antisense RNA 1"
"ENSG00000146054","81786","TRIM7","tripartite motif containing 7"
"ENSG00000146063","90933","TRIM41","tripartite motif containing 41"
"ENSG00000146066","192286","HIGD2A","HIG1 hypoxia inducible domain family member 2A"
"ENSG00000146067","54540","FAM193B","family with sequence similarity 193 member B"
"ENSG00000146070","7941","PLA2G7","phospholipase A2 group VII"
"ENSG00000146072","27242","TNFRSF21","TNF receptor superfamily member 21"
"ENSG00000146083","22838","RNF44","ring finger protein 44"
"ENSG00000146085","4594","MMUT","methylmalonyl-CoA mutase"
"ENSG00000146090","255426","RASGEF1C","RasGEF domain family member 1C"
"ENSG00000146094","79930","DOK3","docking protein 3"
"ENSG00000146109","29777","ABT1","activator of basal transcription 1"
"ENSG00000146112","170954","PPP1R18","protein phosphatase 1 regulatory subunit 18"
"ENSG00000146122","23500","DAAM2","dishevelled associated activator of morphogenesis 2"
"ENSG00000146143","5558","PRIM2","DNA primase subunit 2"
"ENSG00000146147","90523","MLIP","muscular LMNA interacting protein"
"ENSG00000146151","54511","HMGCLL1","3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1"
"ENSG00000146166","51557","LGSN","lengsin, lens protein with glutamine synthetase domain"
"ENSG00000146192","221472","FGD2","FYVE, RhoGEF and PH domain containing 2"
"ENSG00000146197","222663","SCUBE3","signal peptide, CUB domain and EGF like domain containing 3"
"ENSG00000146205","50636","ANO7","anoctamin 7"
"ENSG00000146215","401262","CRIP3","cysteine rich protein 3"
"ENSG00000146216","84630","TTBK1","tau tubulin kinase 1"
"ENSG00000146221","202500","TCTE1","t-complex-associated-testis-expressed 1"
"ENSG00000146223","285855","RPL7L1","ribosomal protein L7 like 1"
"ENSG00000146232","4794","NFKBIE","NFKB inhibitor epsilon"
"ENSG00000146233","51302","CYP39A1","cytochrome P450 family 39 subfamily A member 1"
"ENSG00000146242","7162","TPBG","trophoblast glycoprotein"
"ENSG00000146243","134728","IRAK1BP1","interleukin 1 receptor associated kinase 1 binding protein 1"
"ENSG00000146247","55023","PHIP","pleckstrin homology domain interacting protein"
"ENSG00000146250","167681","PRSS35","serine protease 35"
"ENSG00000146263","253714","MMS22L","MMS22 like, DNA repair protein"
"ENSG00000146267","84553","FAXC","failed axon connections homolog, metaxin like GST domain containing"
"ENSG00000146276","2569","GABRR1","gamma-aminobutyric acid type A receptor subunit rho1"
"ENSG00000146278","10957","PNRC1","proline rich nuclear receptor coactivator 1"
"ENSG00000146281","135293","PM20D2","peptidase M20 domain containing 2"
"ENSG00000146282","57038","RARS2","arginyl-tRNA synthetase 2, mitochondrial"
"ENSG00000146285","256380","SCML4","Scm polycomb group protein like 4"
"ENSG00000146350","221322","TBC1D32","TBC1 domain family member 32"
"ENSG00000146352","134829","CLVS2","clavesin 2"
"ENSG00000146360","2830","GPR6","G protein-coupled receptor 6"
"ENSG00000146373","154214","RNF217","ring finger protein 217"
"ENSG00000146374","84870","RSPO3","R-spondin 3"
"ENSG00000146376","93663","ARHGAP18","Rho GTPase activating protein 18"
"ENSG00000146378","9287","TAAR2","trace amine associated receptor 2"
"ENSG00000146383","319100","TAAR6","trace amine associated receptor 6"
"ENSG00000146385","83551","TAAR8","trace amine associated receptor 8"
"ENSG00000146386","58527","ABRACL","ABRA C-terminal like"
"ENSG00000146399","134864","TAAR1","trace amine associated receptor 1"
"ENSG00000146409","116843","SLC18B1","solute carrier family 18 member B1"
"ENSG00000146410","113115","MTFR2","mitochondrial fission regulator 2"
"ENSG00000146411","154091","SLC2A12","solute carrier family 2 member 12"
"ENSG00000146414","257218","SHPRH","SNF2 histone linker PHD RING helicase"
"ENSG00000146416","51390","AIG1","androgen induced 1"
"ENSG00000146425","6993","DYNLT1","dynein light chain Tctex-type 1"
"ENSG00000146426","26230","TIAM2","TIAM Rac1 associated GEF 2"
"ENSG00000146433","57583","TMEM181","transmembrane protein 181"
"ENSG00000146453","154197","PNLDC1","PARN like ribonuclease domain containing exonuclease 1"
"ENSG00000146457","9589","WTAP","WT1 associated protein"
"ENSG00000146463","9202","ZMYM4","zinc finger MYM-type containing 4"
"ENSG00000146469","7432","VIP","vasoactive intestinal peptide"
"ENSG00000146476","79624","ARMT1","acidic residue methyltransferase 1"
"ENSG00000146477","6581","SLC22A3","solute carrier family 22 member 3"
"ENSG00000146521","26238","LINC01558","long intergenic non-protein coding RNA 1558"
"ENSG00000146530","221806","VWDE","von Willebrand factor D and EGF domains"
"ENSG00000146535","2768","GNA12","G protein subunit alpha 12"
"ENSG00000146540","84310","C7orf50","chromosome 7 open reading frame 50"
"ENSG00000146555","221935","SDK1","sidekick cell adhesion molecule 1"
"ENSG00000146574","221960","CCZ1B","CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"
"ENSG00000146576","79034","INTS15","integrator complex subunit 15"
"ENSG00000146587","57786","RBAK","RB associated KRAB zinc finger"
"ENSG00000146592","9586","CREB5","cAMP responsive element binding protein 5"
"ENSG00000146618","222894","FERD3L","Fer3 like bHLH transcription factor"
"ENSG00000146648","1956","EGFR","epidermal growth factor receptor"
"ENSG00000146666","84847","LINC00525","long intergenic non-protein coding RNA 525"
"ENSG00000146670","113130","CDCA5","cell division cycle associated 5"
"ENSG00000146674","3486","IGFBP3","insulin like growth factor binding protein 3"
"ENSG00000146676","5814","PURB","purine rich element binding protein B"
"ENSG00000146678","3484","IGFBP1","insulin like growth factor binding protein 1"
"ENSG00000146700","136853","SSC4D","scavenger receptor cysteine rich family member with 4 domains"
"ENSG00000146701","4191","MDH2","malate dehydrogenase 2"
"ENSG00000146707","22932","POMZP3","POM121 and ZP3 fusion"
"ENSG00000146729","2631","NIPSNAP2","nipsnap homolog 2"
"ENSG00000146731","908","CCT6A","chaperonin containing TCP1 subunit 6A"
"ENSG00000146733","5723","PSPH","phosphoserine phosphatase"
"ENSG00000146755","135892","TRIM50","tripartite motif containing 50"
"ENSG00000146757","168374","ZNF92","zinc finger protein 92"
"ENSG00000146776","222255","ATXN7L1","ataxin 7 like 1"
"ENSG00000146802","64418","TMEM168","transmembrane protein 168"
"ENSG00000146809","142685","ASB15","ankyrin repeat and SOCS box containing 15"
"ENSG00000146826","55262","TRAPPC14","trafficking protein particle complex subunit 14"
"ENSG00000146828","56996","SLC12A9","solute carrier family 12 member 9"
"ENSG00000146830","64599","GIGYF1","GRB10 interacting GYF protein 1"
"ENSG00000146833","89122","TRIM4","tripartite motif containing 4"
"ENSG00000146834","56257","MEPCE","methylphosphate capping enzyme"
"ENSG00000146839","7455","ZAN","zonadhesin"
"ENSG00000146842","84928","TMEM209","transmembrane protein 209"
"ENSG00000146856","340351","AGBL3","AGBL carboxypeptidase 3"
"ENSG00000146857","346673","STRA8","stimulated by retinoic acid 8"
"ENSG00000146858","92092","ZC3HAV1L","zinc finger CCCH-type containing, antiviral 1 like"
"ENSG00000146859","55281","TMEM140","transmembrane protein 140"
"ENSG00000146872","11011","TLK2","tousled like kinase 2"
"ENSG00000146904","2041","EPHA1","EPH receptor A1"
"ENSG00000146909","64434","NOM1","nucleolar protein with MIF4G domain 1"
"ENSG00000146910","285888","CNPY1","canopy FGF signaling regulator 1"
"ENSG00000146918","54892","NCAPG2","non-SMC condensin II complex subunit G2"
"ENSG00000146926","136371","ASB10","ankyrin repeat and SOCS box containing 10"
"ENSG00000146938","57502","NLGN4X","neuroligin 4 X-linked"
"ENSG00000146950","357","SHROOM2","shroom family member 2"
"ENSG00000146955","401409","RAB19","RAB19, member RAS oncogene family"
"ENSG00000146963","51631","LUC7L2","LUC7 like 2, pre-mRNA splicing factor"
"ENSG00000146966","27147","DENND2A","DENN domain containing 2A"
"ENSG00000147003","57393","CLTRN","collectrin, amino acid transport regulator"
"ENSG00000147010","30011","SH3KBP1","SH3 domain containing kinase binding protein 1"
"ENSG00000147027","83604","TMEM47","transmembrane protein 47"
"ENSG00000147036","347404","LANCL3","LanC like family member 3"
"ENSG00000147041","94122","SYTL5","synaptotagmin like 5"
"ENSG00000147044","8573","CASK","calcium/calmodulin dependent serine protein kinase"
"ENSG00000147050","7403","KDM6A","lysine demethylase 6A"
"ENSG00000147059","54466","SPIN2A","spindlin family member 2A"
"ENSG00000147065","4478","MSN","moesin"
"ENSG00000147081","8852","AKAP4","A-kinase anchoring protein 4"
"ENSG00000147082","85417","CCNB3","cyclin B3"
"ENSG00000147099","55869","HDAC8","histone deacetylase 8"
"ENSG00000147100","6567","SLC16A2","solute carrier family 16 member 2"
"ENSG00000147113","79742","DIPK2B","divergent protein kinase domain 2B"
"ENSG00000147117","7712","ZNF157","zinc finger protein 157"
"ENSG00000147118","7569","ZNF182","zinc finger protein 182"
"ENSG00000147119","56548","CHST7","carbohydrate sulfotransferase 7"
"ENSG00000147121","55634","KRBOX4","KRAB box domain containing 4"
"ENSG00000147123","54539","NDUFB11","NADH:ubiquinone oxidoreductase subunit B11"
"ENSG00000147124","7592","ZNF41","zinc finger protein 41"
"ENSG00000147127","347517","RAB41","RAB41, member RAS oncogene family"
"ENSG00000147130","9203","ZMYM3","zinc finger MYM-type containing 3"
"ENSG00000147133","6872","TAF1","TATA-box binding protein associated factor 1"
"ENSG00000147138","84636","GPR174","G protein-coupled receptor 174"
"ENSG00000147140","4841","NONO","non-POU domain containing octamer binding"
"ENSG00000147144","90060","CCDC120","coiled-coil domain containing 120"
"ENSG00000147145","2846","LPAR4","lysophosphatidic acid receptor 4"
"ENSG00000147155","10682","EBP","EBP cholestenol delta-isomerase"
"ENSG00000147160","158835","AWAT2","acyl-CoA wax alcohol acyltransferase 2"
"ENSG00000147162","8473","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase"
"ENSG00000147164","29934","SNX12","sorting nexin 12"
"ENSG00000147166","26548","ITGB1BP2","integrin subunit beta 1 binding protein 2"
"ENSG00000147168","3561","IL2RG","interleukin 2 receptor subunit gamma"
"ENSG00000147174","93953","GCNA","germ cell nuclear acidic peptidase"
"ENSG00000147180","7552","ZNF711","zinc finger protein 711"
"ENSG00000147183","53336","CPXCR1","CPX chromosome region candidate 1"
"ENSG00000147202","1730","DIAPH2","diaphanous related formin 2"
"ENSG00000147206","56000","NXF3","nuclear RNA export factor 3"
"ENSG00000147223","92129","RIPPLY1","ripply transcriptional repressor 1"
"ENSG00000147224","5631","PRPS1","phosphoribosyl pyrophosphate synthetase 1"
"ENSG00000147231","55086","RADX","RPA1 related single stranded DNA binding protein, X-linked"
"ENSG00000147234","84443","FRMPD3","FERM and PDZ domain containing 3"
"ENSG00000147246","3358","HTR2C","5-hydroxytryptamine receptor 2C"
"ENSG00000147251","139818","DOCK11","dedicator of cytokinesis 11"
"ENSG00000147255","3547","IGSF1","immunoglobulin superfamily member 1"
"ENSG00000147256","158763","ARHGAP36","Rho GTPase activating protein 36"
"ENSG00000147257","2719","GPC3","glypican 3"
"ENSG00000147262","139760","GPR119","G protein-coupled receptor 119"
"ENSG00000147274","27316","RBMX","RNA binding motif protein X-linked"
"ENSG00000147316","79648","MCPH1","microcephalin 1"
"ENSG00000147324","9258","MFHAS1","multifunctional ROCO family signaling regulator 1"
"ENSG00000147364","26260","FBXO25","F-box protein 25"
"ENSG00000147378","89885","FATE1","fetal and adult testis expressed 1"
"ENSG00000147381","4103","MAGEA4","MAGE family member A4"
"ENSG00000147383","50814","NSDHL","NAD(P) dependent steroid dehydrogenase-like"
"ENSG00000147394","7739","ZNF185","zinc finger protein 185 with LIM domain"
"ENSG00000147400","1069","CETN2","centrin 2"
"ENSG00000147403","6134","RPL10","ribosomal protein L10"
"ENSG00000147408","55790","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1"
"ENSG00000147416","526","ATP6V1B2","ATPase H+ transporting V1 subunit B2"
"ENSG00000147419","55246","CCDC25","coiled-coil domain containing 25"
"ENSG00000147421","79618","HMBOX1","homeobox containing 1"
"ENSG00000147432","1142","CHRNB3","cholinergic receptor nicotinic beta 3 subunit"
"ENSG00000147434","8973","CHRNA6","cholinergic receptor nicotinic alpha 6 subunit"
"ENSG00000147437","2796","GNRH1","gonadotropin releasing hormone 1"
"ENSG00000147439","55909","BIN3","bridging integrator 3"
"ENSG00000147443","9046","DOK2","docking protein 2"
"ENSG00000147454","51312","SLC25A37","solute carrier family 25 member 37"
"ENSG00000147457","91782","CHMP7","charged multivesicular body protein 7"
"ENSG00000147459","80005","DOCK5","dedicator of cytokinesis 5"
"ENSG00000147465","6770","STAR","steroidogenic acute regulatory protein"
"ENSG00000147471","11212","PLPBP","pyridoxal phosphate binding protein"
"ENSG00000147475","11160","ERLIN2","ER lipid raft associated 2"
"ENSG00000147481","54212","SNTG1","syntrophin gamma 1"
"ENSG00000147485","137902","PXDNL","peroxidasin like"
"ENSG00000147488","9705","ST18","ST18 C2H2C-type zinc finger transcription factor"
"ENSG00000147509","8601","RGS20","regulator of G protein signaling 20"
"ENSG00000147526","6867","TACC1","transforming acidic coiled-coil containing protein 1"
"ENSG00000147533","51125","GOLGA7","golgin A7"
"ENSG00000147535","84513","PLPP5","phospholipid phosphatase 5"
"ENSG00000147536","84296","GINS4","GINS complex subunit 4"
"ENSG00000147548","54904","NSD3","nuclear receptor binding SET domain protein 3"
"ENSG00000147570","85479","DNAJC5B","DnaJ heat shock protein family (Hsp40) member C5 beta"
"ENSG00000147571","1392","CRH","corticotropin releasing hormone"
"ENSG00000147573","84675","TRIM55","tripartite motif containing 55"
"ENSG00000147576","137872","ADHFE1","alcohol dehydrogenase iron containing 1"
"ENSG00000147586","28957","MRPS28","mitochondrial ribosomal protein S28"
"ENSG00000147588","5375","PMP2","peripheral myelin protein 2"
"ENSG00000147592","51110","LACTB2","lactamase beta 2"
